"feature","id","fc","pval","qval"
"gene","MSTRG.17777",0.0148038410175075,3.06819136763892e-08,0.000314121432218872
"gene","MSTRG.3560",0.00861195796428891,1.15633969177686e-07,0.000413629263166371
"gene","MSTRG.5626",1.47729772834012,1.68440082770616e-07,0.000413629263166371
"gene","MSTRG.6053",0.286740680906273,1.76006792695915e-07,0.000413629263166371
"gene","MSTRG.3568",0.0182989858002968,2.02006868121885e-07,0.000413629263166371
"gene","MSTRG.13805",4.12682697679448,3.35157151587495e-07,0.000571889819658796
"gene","MSTRG.15799",0.0530499347273791,3.9503888960013e-07,0.000577772593103733
"gene","MSTRG.6771",0.310015752715881,6.02186175591157e-07,0.000770647758212784
"gene","MSTRG.7001",0.728509521012319,7.969285815701e-07,0.000906550535346076
"gene","MSTRG.6232",0.0293189018228633,9.55478840602986e-07,0.000978219237009337
"gene","MSTRG.10637",1.80566741564803,1.12981713074056e-06,0.00105155161677472
"gene","MSTRG.14317",1.28882841637042,1.31691424032354e-06,0.0011235473327027
"gene","MSTRG.4508",0.574864875933273,1.64969228944045e-06,0.0012991961276378
"gene","MSTRG.17787",15.628654312156,2.0667662009588e-06,0.00151139659752973
"gene","MSTRG.10946",0.16365223966283,2.75241734815079e-06,0.00187861658735785
"gene","MSTRG.5214",0.510625449706309,3.31559538013781e-06,0.00212156659386568
"gene","MSTRG.5413",3.81588194022637,3.68527985550315e-06,0.00216277175343221
"gene","MSTRG.5740",0.0266476718439935,3.8291136930102e-06,0.00216277175343221
"gene","MSTRG.1070",3.46427743172315,4.01373933534011e-06,0.00216277175343221
"gene","MSTRG.17611",0.609707505822975,4.25986505447895e-06,0.00218062492138777
"gene","MSTRG.8649",0.374833849552875,4.50831890996817e-06,0.00219791280953591
"gene","MSTRG.12845",0.200347678660917,5.34239646543533e-06,0.00239414644430831
"gene","MSTRG.15712",0.578527446220741,5.37852785886805e-06,0.00239414644430831
"gene","MSTRG.10970",0.064171996318718,5.97214290998238e-06,0.00248195366074363
"gene","MSTRG.6850",0.0221774656457245,6.06064089847536e-06,0.00248195366074363
"gene","MSTRG.10148",0.0722258005341587,6.38614646319979e-06,0.00251466798039383
"gene","MSTRG.5624",8.49060028149071,6.75482696599339e-06,0.00256133031399409
"gene","MSTRG.6036",1.47174786270551,7.07381569520216e-06,0.0025864901816957
"gene","MSTRG.6770",0.0222161956516695,7.48739410527666e-06,0.00261287346453731
"gene","MSTRG.6670",0.0575773251419577,7.65639811839414e-06,0.00261287346453731
"gene","MSTRG.5623",15.286291576952,8.17849016776506e-06,0.00262619816309611
"gene","MSTRG.14401",0.115712792134696,8.208472476956e-06,0.00262619816309611
"gene","MSTRG.3079",2.68599327723342,9.03012676078951e-06,0.00280152841748373
"gene","MSTRG.4527",2.58788412926343,1.02596182420811e-05,0.00295858494766996
"gene","MSTRG.15104",0.123115293639284,1.02959859942242e-05,0.00295858494766996
"gene","MSTRG.2420",0.148380830106625,1.11359490938545e-05,0.00295858494766996
"gene","MSTRG.825",0.179806204206993,1.16011579409658e-05,0.00295858494766996
"gene","MSTRG.16826",0.664659967146708,1.17754196057307e-05,0.00295858494766996
"gene","MSTRG.17140",3.04999022000188,1.17846279097389e-05,0.00295858494766996
"gene","MSTRG.17988",2.23596139307588,1.21856567911749e-05,0.00295858494766996
"gene","MSTRG.7547",1.41541802066732,1.22018764883158e-05,0.00295858494766996
"gene","MSTRG.17162",0.21265466732365,1.22962207720345e-05,0.00295858494766996
"gene","MSTRG.15095",0.309180343966464,1.2426172372515e-05,0.00295858494766996
"gene","MSTRG.3563",0.175848657519122,1.320532464133e-05,0.00307263894722582
"gene","MSTRG.7993",2.00386928388191,1.39422717264637e-05,0.00317202173190078
"gene","MSTRG.6305",1.66949350465008,1.43138785058117e-05,0.00318577148135869
"gene","MSTRG.953",5.12953523694678,1.54912557857045e-05,0.00337445695178815
"gene","MSTRG.169",0.216115490892652,1.64671407656414e-05,0.00347978675163715
"gene","MSTRG.10867",3.39273865669087,1.6654576170172e-05,0.00347978675163715
"gene","MSTRG.11807",13.3450775755194,1.74754849788794e-05,0.00357828030427535
"gene","MSTRG.18114",0.104706971787559,1.83476438817554e-05,0.00367862889017076
"gene","MSTRG.8307",2.67472854999245,1.88605115394314e-05,0.00367862889017076
"gene","MSTRG.1263",0.615728918625962,1.90434978686316e-05,0.00367862889017076
"gene","MSTRG.14057",0.400382805367389,1.98027637752229e-05,0.00375445732464319
"gene","MSTRG.5768",0.0207174472627606,2.07487862085021e-05,0.00386229224004808
"gene","MSTRG.8127",0.114162806552608,2.23123892451049e-05,0.00405515824979381
"gene","MSTRG.7927",2.19102549624112,2.25770678099479e-05,0.00405515824979381
"gene","MSTRG.8230",6.56966958502619,2.35664110650458e-05,0.00415987787041273
"gene","MSTRG.8781",0.357081180042712,2.44685124759503e-05,0.00424590899540303
"gene","MSTRG.9416",0.382652591706115,2.71048833645482e-05,0.00458330061741117
"gene","MSTRG.2169",1.65294322499533,2.73081986386092e-05,0.00458330061741117
"gene","MSTRG.4760",3.91403759610726,2.8235009263855e-05,0.004639223745373
"gene","MSTRG.4919",2.01194483738814,2.86335153175665e-05,0.004639223745373
"gene","MSTRG.16341",0.255158221342841,2.9000812629798e-05,0.004639223745373
"gene","MSTRG.12022",0.67458266380832,2.97932052475414e-05,0.00469113308059053
"gene","MSTRG.4752",3.26719535454028,3.03096031802896e-05,0.00469113308059053
"gene","MSTRG.6972",0.210505273884858,3.10677798613934e-05,0.00469113308059053
"gene","MSTRG.9495",2.45986725763166,3.1409300447871e-05,0.00469113308059053
"gene","MSTRG.6233",0.0984096517641809,3.16163491463906e-05,0.00469113308059053
"gene","MSTRG.3011",0.145687662608248,3.22648976522899e-05,0.00471513417171721
"gene","MSTRG.8324",0.710142875669241,3.26992113881541e-05,0.00471513417171721
"gene","MSTRG.4837",0.0544362302090763,3.32508862745939e-05,0.00472809130110129
"gene","MSTRG.16739",8.47425382834514,3.56357818582786e-05,0.00497676830999953
"gene","MSTRG.11311",3.17508679167361,3.59719530123037e-05,0.00497676830999953
"gene","MSTRG.4140",0.40296207291323,3.67955425225608e-05,0.00501341111361271
"gene","MSTRG.11443",0.430846527294734,3.7251788547854e-05,0.00501341111361271
"gene","MSTRG.8401",1.14667481381742,3.77058659648544e-05,0.00501341111361271
"gene","MSTRG.3137",0.00995079762214055,3.85583328952332e-05,0.00506102836129997
"gene","MSTRG.15360",7.27278443109503,4.03002295825683e-05,0.00518664993362822
"gene","MSTRG.14484",2.08748434231883,4.05286183522424e-05,0.00518664993362822
"gene","MSTRG.8283",0.551667713082679,4.18291633959011e-05,0.00528699968947205
"gene","MSTRG.13645",0.431084162917698,4.42769862605275e-05,0.00550433934158855
"gene","MSTRG.1072",14.3648608326116,4.51449990646058e-05,0.00550433934158855
"gene","MSTRG.11805",1.3252207139479,4.53347418427619e-05,0.00550433934158855
"gene","MSTRG.5706",0.680677433190031,4.56992424335834e-05,0.00550433934158855
"gene","MSTRG.2744",1.41594002287504,4.6254692706027e-05,0.00550645981307331
"gene","MSTRG.12049",3.9112757504197,4.79556049932661e-05,0.00559300104717719
"gene","MSTRG.17359",3.09482099855888,4.80742422496183e-05,0.00559300104717719
"gene","MSTRG.1570",2.17497754670209,4.88285982299663e-05,0.00561693470425163
"gene","MSTRG.10904",1.3364134090586,5.09388279459344e-05,0.00572628368651897
"gene","MSTRG.6765",0.0758510823301167,5.13741406054091e-05,0.00572628368651897
"gene","MSTRG.703",1.71733201940438,5.14571302168143e-05,0.00572628368651897
"gene","MSTRG.1866",0.568532946700824,5.46778435912554e-05,0.00600113922515187
"gene","MSTRG.12021",14.9588423951431,5.50993443215742e-05,0.00600113922515187
"gene","MSTRG.13757",0.514481310612608,5.61923425177469e-05,0.00603650948903137
"gene","MSTRG.17132",1.47629303862958,5.66033317979109e-05,0.00603650948903137
"gene","MSTRG.15448",1.35629977189878,6.45505662538737e-05,0.00681307935368205
"gene","MSTRG.3797",0.0860082029318961,6.69316610737436e-05,0.00699230965380599
"gene","MSTRG.5739",0.062060619261275,6.87903729457151e-05,0.00711389735573971
"gene","MSTRG.5907",0.283941402564632,7.15671391200434e-05,0.00719902753436409
"gene","MSTRG.2869",0.125115498854868,7.18146319504953e-05,0.00719902753436409
"gene","MSTRG.16363",0.555014226391084,7.29051350437659e-05,0.00719902753436409
"gene","MSTRG.14682",0.68191942527617,7.3757342530234e-05,0.00719902753436409
"gene","MSTRG.12952",4.62624891974151,7.38438053036194e-05,0.00719902753436409
"gene","MSTRG.12188",1.72484549307313,7.43370029417934e-05,0.00719902753436409
"gene","MSTRG.10234",0.615584736588569,7.45941842419384e-05,0.00719902753436409
"gene","MSTRG.3461",1.73197030400516,7.52389085931782e-05,0.00719902753436409
"gene","MSTRG.17021",0.75210640530547,7.86951780198386e-05,0.0074600114126584
"gene","MSTRG.16339",4.50530753978813,7.98034326372488e-05,0.00749566553523076
"gene","MSTRG.5812",0.23434949002158,8.1080480237361e-05,0.00754638142427366
"gene","MSTRG.16108",0.676737564635266,8.55966747259629e-05,0.00784409501243426
"gene","MSTRG.6288",0.18129074541375,8.63076546007147e-05,0.00784409501243426
"gene","MSTRG.9820",1.61576928162252,8.75737116884379e-05,0.00784409501243426
"gene","MSTRG.18552",1.28366353964352,8.86448991852529e-05,0.00784409501243426
"gene","MSTRG.16788",1.74046920725383,9.07315734791636e-05,0.00784409501243426
"gene","MSTRG.3810",1.48879445160105,9.07349443778349e-05,0.00784409501243426
"gene","MSTRG.13436",1.26178683745099,9.21693461372053e-05,0.00784409501243426
"gene","MSTRG.13755",5.68727277839616,9.25723204578954e-05,0.00784409501243426
"gene","MSTRG.15904",2.93526961457667,9.2964549053054e-05,0.00784409501243426
"gene","MSTRG.4967",2.90507863869037,9.4148329079391e-05,0.00784409501243426
"gene","MSTRG.13767",3.0893653105655,9.43933307477884e-05,0.00784409501243426
"gene","MSTRG.5769",0.0182917550603385,9.47146186398573e-05,0.00784409501243426
"gene","MSTRG.16265",0.318504858431694,9.58215583211075e-05,0.00784409501243426
"gene","MSTRG.16483",1.3240205665823,9.60034116481712e-05,0.00784409501243426
"gene","MSTRG.15350",0.0524567316497659,9.62822288874676e-05,0.00784409501243426
"gene","MSTRG.18297",0.562607849756872,9.67939637755988e-05,0.00784409501243426
"gene","MSTRG.17854",3.97097670098755,9.75723961185171e-05,0.00784409501243426
"gene","MSTRG.18433",2.27132330505809,9.91411763755501e-05,0.00784409501243426
"gene","MSTRG.8997",1.39737201441834,9.94109777463503e-05,0.00784409501243426
"gene","MSTRG.6791",0.422470787068149,9.99889338435533e-05,0.00784409501243426
"gene","MSTRG.4607",0.283991189649974,0.000102058127632088,0.00784409501243426
"gene","MSTRG.4216",0.751665539777806,0.000102330072428325,0.00784409501243426
"gene","MSTRG.6358",3.70178608149413,0.00010389126815602,0.00784409501243426
"gene","MSTRG.4552",2.39688030485624,0.000103924702310465,0.00784409501243426
"gene","MSTRG.4207",0.0849933864052111,0.000104638317488193,0.00784409501243426
"gene","MSTRG.5444",0.422436661360225,0.00010536763681146,0.00784409501243426
"gene","MSTRG.5704",5.96808933130403,0.000105566773908938,0.00784409501243426
"gene","MSTRG.17997",8.67908633524604,0.00010805695367444,0.00784409501243426
"gene","MSTRG.1039",0.124231032266084,0.000108116423094717,0.00784409501243426
"gene","MSTRG.14664",0.282145724265655,0.000108243708398348,0.00784409501243426
"gene","MSTRG.3323",0.566615361355999,0.000109164472965162,0.00784409501243426
"gene","MSTRG.8167",0.47231333267924,0.0001092830432039,0.00784409501243426
"gene","MSTRG.4665",0.317102723658615,0.000109923915651011,0.00784409501243426
"gene","MSTRG.18537",3.03567938424979,0.000110329134771492,0.00784409501243426
"gene","MSTRG.18140",3.29839419962323,0.000113397506548596,0.00795756689008128
"gene","MSTRG.17778",0.142419354404432,0.000113479660671212,0.00795756689008128
"gene","MSTRG.8327",6.97516574927822,0.000115977117541077,0.00807737230874523
"gene","MSTRG.415",2.38835278815841,0.00011700076081167,0.0080843338408806
"gene","MSTRG.3878",0.7636403973785,0.000118197883066662,0.0080843338408806
"gene","MSTRG.17237",3.16993658946515,0.000118907884181674,0.0080843338408806
"gene","MSTRG.17700",0.666751864197372,0.000119614358546349,0.0080843338408806
"gene","MSTRG.12535",0.276427113808024,0.000120544275153733,0.0080843338408806
"gene","MSTRG.8402",1.4214562679231,0.000120814912839884,0.0080843338408806
"gene","MSTRG.7815",0.307270656096284,0.000122334024759252,0.0081032229886476
"gene","MSTRG.1766",0.767847006281727,0.000122680168318068,0.0081032229886476
"gene","MSTRG.11119",0.78160890280084,0.000124424987862692,0.00816578862652721
"gene","MSTRG.9600",1.76112074892492,0.000125715349571731,0.00819792196761391
"gene","MSTRG.18482",6.12916383555213,0.000126794533200303,0.0082159647525614
"gene","MSTRG.10963",0.424090310691096,0.000129075384092348,0.00831013783729204
"gene","MSTRG.17651",3.67309282441001,0.000129871269189952,0.00831013783729204
"gene","MSTRG.8973",0.571977198469061,0.000131982574320122,0.00837997399335823
"gene","MSTRG.17789",11.6330888480163,0.000133325716175081,0.00837997399335823
"gene","MSTRG.6943",0.15024040872459,0.000133418222398651,0.00837997399335823
"gene","MSTRG.598",0.118320945514123,0.000135020199723779,0.00842835390436665
"gene","MSTRG.18046",0.259730306417092,0.000136601633018985,0.00842835390436665
"gene","MSTRG.17490",5.01394884651566,0.000136658209428098,0.00842835390436665
"gene","MSTRG.5455",4.35625299990413,0.00013860216626016,0.00843691297413768
"gene","MSTRG.3882",0.208497731262645,0.000140169477144791,0.00843691297413768
"gene","MSTRG.2890",3.56140688418157,0.000140550730752365,0.00843691297413768
"gene","MSTRG.9252",1.81802244576326,0.00014079890189922,0.00843691297413768
"gene","MSTRG.12956",2.30424846800411,0.000140917378255279,0.00843691297413768
"gene","MSTRG.12999",1.21526646748449,0.000142561647782813,0.00848037099874678
"gene","MSTRG.223",0.508644146528849,0.00014329988110795,0.00848037099874678
"gene","MSTRG.504",0.623496290203878,0.000145401528665046,0.00853227152180533
"gene","MSTRG.2521",1.73092914493167,0.000145980213913099,0.00853227152180533
"gene","MSTRG.2561",1.41128943560082,0.000146677064645218,0.00853227152180533
"gene","MSTRG.1842",2.79609023683328,0.000147588002323618,0.00853675688016495
"gene","MSTRG.5272",0.225527745528475,0.000148707090510514,0.0085531640036328
"gene","MSTRG.2574",0.393582662245657,0.000152013791564376,0.00862464610605133
"gene","MSTRG.9117",0.719043310626431,0.000152815518307592,0.00862464610605133
"gene","MSTRG.16384",5.40486003533061,0.000152893690259948,0.00862464610605133
"gene","MSTRG.16906",5.15637413608025,0.000153319553750864,0.00862464610605133
"gene","MSTRG.907",2.50006479737392,0.000154717522562797,0.00865572675408698
"gene","MSTRG.16056",0.673885350878608,0.000156061424367748,0.00867384962585902
"gene","MSTRG.12725",0.682682185867112,0.000156735903573346,0.00867384962585902
"gene","MSTRG.5972",0.87587499183375,0.000158948835874195,0.0087367090407456
"gene","MSTRG.15772",3.37050451060814,0.000159578490976697,0.0087367090407456
"gene","MSTRG.9251",0.374589381301278,0.000162851570921885,0.00885983149766916
"gene","MSTRG.3326",0.111110578661588,0.000163558131769825,0.00885983149766916
"gene","MSTRG.7309",1.50871352453349,0.00016514967131509,0.00889895965749418
"gene","MSTRG.2356",0.366213663839892,0.000167263058876821,0.00896565024492614
"gene","MSTRG.8815",3.22665897424942,0.000171204104469691,0.00904784613193308
"gene","MSTRG.15903",2.23254186117474,0.00017180042060061,0.00904784613193308
"gene","MSTRG.11140",2.66539238417709,0.000172058902747407,0.00904784613193308
"gene","MSTRG.2623",0.598780670911009,0.000173125287495024,0.00904784613193308
"gene","MSTRG.10565",2.48110290533734,0.000173215260974691,0.00904784613193308
"gene","MSTRG.16497",1.42187372324524,0.000177364219488441,0.00921119886113223
"gene","MSTRG.6591",1.86151302467497,0.000178141958830258,0.00921119886113223
"gene","MSTRG.6230",0.0579186960011646,0.00018263422826692,0.00939602627636547
"gene","MSTRG.15560",0.168500520339383,0.000185237912817549,0.00943764822947901
"gene","MSTRG.462",1.82437005274035,0.000185532508443331,0.00943764822947901
"gene","MSTRG.17346",1.86201468487528,0.000186208726543735,0.00943764822947901
"gene","MSTRG.17678",1.42036427140363,0.000188069340138264,0.0094558164351339
"gene","MSTRG.14285",0.785800760971371,0.000188414392729763,0.0094558164351339
"gene","MSTRG.5716",0.747706258635662,0.000191963692195429,0.00957612909501439
"gene","MSTRG.11454",4.11206273145536,0.000192682417813339,0.00957612909501439
"gene","MSTRG.4778",1.70485724724942,0.000193857040503231,0.00958796319165257
"gene","MSTRG.6763",0.329345717193753,0.00019496772333305,0.00959653630521044
"gene","MSTRG.12435",0.608228167450491,0.000199264095181118,0.0097610804137047
"gene","MSTRG.15492",0.263810731860688,0.000205925187660383,0.0100393431965095
"gene","MSTRG.6835",1.47310366239218,0.000210746156988018,0.0102256832002053
"gene","MSTRG.15283",1.56741015366497,0.000211957236452953,0.0102260432784674
"gene","MSTRG.4551",2.38637109567469,0.00021439081458785,0.0102260432784674
"gene","MSTRG.6700",0.44339968544565,0.000215053938219967,0.0102260432784674
"gene","MSTRG.9840",0.0913768119466607,0.000215101578378007,0.0102260432784674
"gene","MSTRG.5183",0.63818946200978,0.000215796199930951,0.0102260432784674
